# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: Crestone
# Data supplier: 
# Location name: Crestone Colorado
# Position (lat, lon, elev(m)): 37.9979, -105.69884, 2452
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 6
# Number of fields per line: 6
# SQM serial number: 6080
# SQM hardware identity: 0080A3F51677
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000003,00000079,00006080
# SQM readout test rx (Reading): r, 00.00m,0000568635Hz,0000000000c,0000000.000s, 036.4C,D
# SQM readout test cx (Calibration): c,00000019.89m,0000238.774s, 024.1C,00000008.71m, 026.4C
# SQM readout test Ix (Report Interval): 0000000120s,0000000120s,00000018.00m,00000018.00m
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.352
# UDM setting: Logged continuously every 2 minutes,Threshold = 8 mpsas, Record limit = 1000.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS, MoonPhaseDeg, MoonElevDeg, MoonIllum, MoonAzimuth, Humidity
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2;Degrees;Degrees;Percent;Degrees;Percent
# END OF HEADER
2026-08-01T02:13:55.128;2026-07-31T20:13:55.128;34.8;0;54362;8.06;-28.4;-13.896;94.0;-90.418;33.3
2026-08-01T02:15:55.107;2026-07-31T20:15:55.107;34.8;0;46449;8.23;-28.4;-13.509;94.0;-90.125;33.3
2026-08-01T02:17:55.145;2026-07-31T20:17:55.145;34.8;0;40944;8.37;-28.4;-13.121;94.0;-89.833;33.3
2026-08-01T02:19:55.122;2026-07-31T20:19:55.122;34.8;0;30080;8.70;-28.4;-12.734;94.0;-89.541;33.3
2026-08-01T02:21:55.107;2026-07-31T20:21:55.107;34.8;0;20880;9.10;-28.5;-12.347;94.0;-89.249;33.3
2026-08-01T02:23:55.128;2026-07-31T20:23:55.128;34.8;0;18877;9.21;-28.5;-11.959;94.0;-88.958;33.3
2026-08-01T02:25:55.121;2026-07-31T20:25:55.121;34.4;0;12419;9.66;-28.5;-11.572;93.9;-88.668;33.3
2026-08-01T02:27:55.099;2026-07-31T20:27:55.099;34.4;0;8057;10.13;-28.5;-11.185;93.9;-88.377;33.3
2026-08-01T02:29:55.101;2026-07-31T20:29:55.101;34.4;0;5599;10.53;-28.5;-10.797;93.9;-88.087;33.3
2026-08-01T02:31:55.109;2026-07-31T20:31:55.109;34.4;0;3473;11.04;-28.5;-10.410;93.9;-87.797;33.3
2026-08-01T02:33:55.124;2026-07-31T20:33:55.124;34.4;0;2095;11.60;-28.6;-10.023;93.9;-87.508;33.3
2026-08-01T02:35:55.118;2026-07-31T20:35:55.118;34.4;0;1386;12.04;-28.6;-9.636;93.9;-87.218;33.3
2026-08-01T02:37:55.138;2026-07-31T20:37:55.138;34.4;0;909;12.50;-28.6;-9.249;93.9;-86.929;33.3
2026-08-01T02:39:55.134;2026-07-31T20:39:55.134;34.4;0;588;12.97;-28.6;-8.862;93.9;-86.640;33.3
2026-08-01T02:41:55.121;2026-07-31T20:41:55.121;34.4;0;521;13.10;-28.6;-8.475;93.9;-86.351;33.3
2026-08-01T02:43:55.120;2026-07-31T20:43:55.120;34.4;0;338;13.57;-28.6;-8.089;93.9;-86.062;33.3
