# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: Crestone
# Data supplier: 
# Location name: Crestone Colorado
# Position (lat, lon, elev(m)): 37.9979, -105.69884, 2452
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 6
# Number of fields per line: 6
# SQM serial number: 6080
# SQM hardware identity: 0080A3F51677
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000003,00000079,00006080
# SQM readout test rx (Reading): r, 00.00m,0000568192Hz,0000000000c,0000000.000s, 047.7C,D
# SQM readout test cx (Calibration): c,00000019.89m,0000238.774s, 024.1C,00000008.71m, 026.4C
# SQM readout test Ix (Report Interval): 0000000120s,0000000120s,00000018.00m,00000018.00m
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.352
# UDM setting: Logged continuously every 2 minutes,Threshold = 8 mpsas, Record limit = 1000.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS, MoonPhaseDeg, MoonElevDeg, MoonIllum, MoonAzimuth, Humidity
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2;Degrees;Degrees;Percent;Degrees;Percent
# END OF HEADER
2026-08-22T01:46:30.119;2026-08-21T19:46:30.119;38.0;0;53822;8.07;68.5;23.559;68.4;-7.639;33.3
2026-08-22T01:48:30.101;2026-08-21T19:48:30.101;37.7;0;44411;8.28;68.5;23.607;68.4;-7.177;33.3
2026-08-22T01:50:30.098;2026-08-21T19:50:30.098;37.7;0;35369;8.52;68.4;23.653;68.4;-6.715;33.3
2026-08-22T01:52:30.095;2026-08-21T19:52:30.095;37.3;0;28060;8.77;68.4;23.695;68.4;-6.252;33.3
2026-08-22T01:54:30.111;2026-08-21T19:54:30.111;37.3;0;21723;9.05;68.4;23.734;68.4;-5.788;33.3
2026-08-22T01:56:30.120;2026-08-21T19:56:30.120;37.0;0;16270;9.36;68.4;23.770;68.4;-5.324;33.3
2026-08-22T01:58:30.096;2026-08-21T19:58:30.096;37.0;0;11843;9.71;68.4;23.803;68.4;-4.860;33.3
2026-08-22T02:00:30.133;2026-08-21T20:00:30.133;36.7;0;8337;10.09;68.4;23.834;68.4;-4.395;33.3
2026-08-22T02:02:30.088;2026-08-21T20:02:30.088;36.7;0;5614;10.52;68.3;23.860;68.5;-3.930;33.3
2026-08-22T02:04:30.099;2026-08-21T20:04:30.099;36.4;0;3587;11.00;68.3;23.884;68.5;-3.465;33.3
2026-08-22T02:06:30.097;2026-08-21T20:06:30.097;36.4;0;2260;11.51;68.3;23.905;68.5;-2.999;33.3
2026-08-22T02:08:30.112;2026-08-21T20:08:30.112;36.4;0;1424;12.01;68.3;23.923;68.5;-2.534;33.3
2026-08-22T02:10:30.094;2026-08-21T20:10:30.094;36.0;0;900;12.51;68.3;23.937;68.5;-2.068;33.3
2026-08-22T02:12:30.105;2026-08-21T20:12:30.105;36.0;0;567;13.01;68.3;23.949;68.5;-1.602;33.3
2026-08-22T02:14:30.093;2026-08-21T20:14:30.093;35.7;0;352;13.52;68.3;23.957;68.5;-1.136;33.3
2026-08-22T02:16:30.113;2026-08-21T20:16:30.113;35.7;0;217;14.05;68.2;23.963;68.5;-0.669;33.3
2026-08-22T02:18:30.121;2026-08-21T20:18:30.121;35.4;0;132;14.59;68.2;23.965;68.5;-0.203;33.3
2026-08-22T02:20:30.095;2026-08-21T20:20:30.095;35.4;5807;79;15.14;68.2;23.964;68.6;0.263;33.3
2026-08-22T02:22:30.095;2026-08-21T20:22:30.095;35.4;9283;50;15.65;68.2;23.960;68.6;0.730;33.3
2026-08-22T02:24:30.103;2026-08-21T20:24:30.103;35.1;15086;31;16.17;68.2;23.953;68.6;1.196;33.3
2026-08-22T02:26:30.142;2026-08-21T20:26:30.142;35.1;22214;20;16.59;68.2;23.943;68.6;1.662;33.3
2026-08-22T02:28:30.154;2026-08-21T20:28:30.154;34.8;32448;15;17.01;68.1;23.930;68.6;2.128;33.3
2026-08-22T02:30:30.100;2026-08-21T20:30:30.100;34.8;45205;10;17.37;68.1;23.913;68.6;2.594;33.3
2026-08-22T02:32:30.113;2026-08-21T20:32:30.113;34.8;61554;8;17.71;68.1;23.894;68.6;3.059;33.3
2026-08-22T02:34:30.107;2026-08-21T20:34:30.107;34.4;83543;5;18.04;68.1;23.872;68.6;3.525;33.3
2026-08-22T02:36:30.107;2026-08-21T20:36:30.107;34.4;111180;4;18.35;68.1;23.846;68.7;3.990;33.3
2026-08-22T02:38:30.119;2026-08-21T20:38:30.119;34.4;143977;3;18.63;68.1;23.817;68.7;4.454;33.3
2026-08-22T02:40:30.107;2026-08-21T20:40:30.107;34.4;183499;2;18.90;68.1;23.786;68.7;4.919;33.3
2026-08-22T02:42:30.106;2026-08-21T20:42:30.106;34.1;231346;2;19.14;68.0;23.751;68.7;5.383;33.3
2026-08-22T02:44:30.112;2026-08-21T20:44:30.112;34.1;283094;2;19.36;68.0;23.713;68.7;5.846;33.3
2026-08-22T02:46:30.100;2026-08-21T20:46:30.100;34.1;338776;2;19.56;68.0;23.672;68.7;6.310;33.3
2026-08-22T02:48:30.109;2026-08-21T20:48:30.109;34.1;396530;1;19.73;68.0;23.628;68.7;6.772;33.3
2026-08-22T02:50:30.128;2026-08-21T20:50:30.128;33.8;454037;1;19.88;68.0;23.581;68.7;7.234;33.3
2026-08-22T02:52:30.122;2026-08-21T20:52:30.122;33.8;507760;1;20.00;68.0;23.531;68.8;7.696;33.3
2026-08-22T02:54:30.119;2026-08-21T20:54:30.119;33.8;560597;1;20.10;68.0;23.478;68.8;8.157;33.3
2026-08-22T02:56:30.107;2026-08-21T20:56:30.107;33.8;601838;1;20.18;67.9;23.422;68.8;8.617;33.3
2026-08-22T02:58:30.101;2026-08-21T20:58:30.101;33.5;636480;0;20.25;67.9;23.363;68.8;9.077;33.3
2026-08-22T03:00:30.146;2026-08-21T21:00:30.146;33.5;666553;1;20.29;67.9;23.301;68.8;9.536;33.3
2026-08-22T03:02:30.108;2026-08-21T21:02:30.108;33.5;685398;1;20.33;67.9;23.236;68.8;9.994;33.3
2026-08-22T03:04:30.114;2026-08-21T21:04:30.114;33.5;705500;1;20.36;67.9;23.168;68.8;10.452;33.3
2026-08-22T03:06:30.122;2026-08-21T21:06:30.122;33.5;717879;0;20.38;67.9;23.097;68.8;10.909;33.3
2026-08-22T03:08:30.110;2026-08-21T21:08:30.110;33.1;730196;1;20.40;67.8;23.022;68.9;11.365;33.3
2026-08-22T03:10:30.101;2026-08-21T21:10:30.101;33.1;732354;0;20.40;67.8;22.945;68.9;11.820;33.3
2026-08-22T03:12:30.127;2026-08-21T21:12:30.127;33.1;697667;1;20.35;67.8;22.865;68.9;12.274;33.3
2026-08-22T03:14:30.113;2026-08-21T21:14:30.113;33.1;713945;1;20.37;67.8;22.783;68.9;12.728;33.3
2026-08-22T03:16:30.135;2026-08-21T21:16:30.135;33.1;715862;0;20.37;67.8;22.697;68.9;13.180;33.3
2026-08-22T03:18:30.099;2026-08-21T21:18:30.099;33.1;742651;0;20.42;67.8;22.608;68.9;13.632;33.3
2026-08-22T03:20:30.123;2026-08-21T21:20:30.123;33.1;749402;0;20.43;67.8;22.516;68.9;14.082;33.3
2026-08-22T03:22:30.132;2026-08-21T21:22:30.132;33.1;741687;1;20.42;67.7;22.422;68.9;14.532;33.3
2026-08-22T03:24:30.126;2026-08-21T21:24:30.126;33.1;735359;1;20.41;67.7;22.324;69.0;14.980;33.3
2026-08-22T03:26:30.130;2026-08-21T21:26:30.130;33.1;725696;0;20.39;67.7;22.224;69.0;15.428;33.3
2026-08-22T03:28:30.113;2026-08-21T21:28:30.113;33.1;724701;0;20.39;67.7;22.121;69.0;15.874;33.3
2026-08-22T03:30:30.125;2026-08-21T21:30:30.125;33.1;720786;1;20.38;67.7;22.015;69.0;16.319;33.3
2026-08-22T03:32:30.144;2026-08-21T21:32:30.144;32.8;701710;0;20.35;67.7;21.906;69.0;16.763;33.3
2026-08-22T03:34:30.099;2026-08-21T21:34:30.099;33.1;758184;0;20.45;67.7;21.794;69.0;17.206;33.3
2026-08-22T03:36:30.107;2026-08-21T21:36:30.107;33.1;834073;1;20.55;67.6;21.680;69.0;17.648;33.3
2026-08-22T03:38:30.105;2026-08-21T21:38:30.105;33.1;905054;0;20.63;67.6;21.563;69.0;18.089;33.3
2026-08-22T03:40:30.107;2026-08-21T21:40:30.107;33.1;906818;0;20.64;67.6;21.442;69.0;18.528;33.3
2026-08-22T03:42:30.114;2026-08-21T21:42:30.114;33.1;875057;0;20.60;67.6;21.320;69.1;18.966;33.3
2026-08-22T03:44:30.110;2026-08-21T21:44:30.110;33.1;900283;0;20.63;67.6;21.194;69.1;19.403;33.3
2026-08-22T03:46:30.112;2026-08-21T21:46:30.112;33.1;945369;1;20.68;67.6;21.066;69.1;19.838;33.3
2026-08-22T03:48:30.113;2026-08-21T21:48:30.113;33.5;968335;1;20.71;67.5;20.935;69.1;20.272;33.3
2026-08-22T03:50:30.104;2026-08-21T21:50:30.104;33.5;968319;1;20.71;67.5;20.801;69.1;20.705;33.3
2026-08-22T03:52:30.111;2026-08-21T21:52:30.111;33.5;984326;1;20.73;67.5;20.665;69.1;21.137;33.3
2026-08-22T03:54:30.137;2026-08-21T21:54:30.137;33.5;991151;0;20.73;67.5;20.526;69.1;21.567;33.3
2026-08-22T03:56:30.111;2026-08-21T21:56:30.111;33.5;991956;0;20.74;67.5;20.384;69.1;21.996;33.3
2026-08-22T03:58:30.113;2026-08-21T21:58:30.113;33.8;999633;1;20.75;67.5;20.240;69.2;22.423;33.3
2026-08-22T04:00:30.107;2026-08-21T22:00:30.107;33.8;991108;1;20.73;67.5;20.093;69.2;22.849;33.3
2026-08-22T04:02:30.109;2026-08-21T22:02:30.109;33.8;980441;1;20.72;67.4;19.944;69.2;23.274;33.3
2026-08-22T04:04:30.153;2026-08-21T22:04:30.153;33.8;976065;1;20.72;67.4;19.791;69.2;23.697;33.3
2026-08-22T04:06:30.123;2026-08-21T22:06:30.123;33.8;924402;0;20.66;67.4;19.637;69.2;24.118;33.3
2026-08-22T04:08:30.125;2026-08-21T22:08:30.125;33.8;812118;1;20.52;67.4;19.480;69.2;24.539;33.3
2026-08-22T04:10:30.124;2026-08-21T22:10:30.124;33.8;789179;1;20.49;67.4;19.320;69.2;24.957;33.3
2026-08-22T04:12:30.104;2026-08-21T22:12:30.104;34.1;796708;0;20.50;67.4;19.158;69.2;25.374;33.3
2026-08-22T04:14:30.126;2026-08-21T22:14:30.126;33.8;766870;1;20.46;67.3;18.993;69.3;25.790;33.3
2026-08-22T04:16:30.129;2026-08-21T22:16:30.129;34.1;782092;1;20.47;67.3;18.826;69.3;26.204;33.3
2026-08-22T04:18:30.109;2026-08-21T22:18:30.109;34.1;847810;1;20.56;67.3;18.656;69.3;26.617;33.3
2026-08-22T04:20:30.108;2026-08-21T22:20:30.108;34.1;807261;1;20.51;67.3;18.484;69.3;27.028;33.3
2026-08-22T04:22:30.117;2026-08-21T22:22:30.117;33.8;613224;0;20.20;67.3;18.309;69.3;27.437;33.3
2026-08-22T04:24:30.107;2026-08-21T22:24:30.107;33.8;706359;1;20.36;67.3;18.132;69.3;27.845;33.3
2026-08-22T04:26:30.126;2026-08-21T22:26:30.126;33.8;796601;0;20.50;67.3;17.953;69.3;28.252;33.3
2026-08-22T04:28:30.119;2026-08-21T22:28:30.119;33.8;931943;0;20.67;67.2;17.771;69.3;28.656;33.3
2026-08-22T04:30:30.104;2026-08-21T22:30:30.104;33.8;995277;1;20.74;67.2;17.587;69.4;29.059;33.3
2026-08-22T04:32:30.124;2026-08-21T22:32:30.124;33.8;1030686;0;20.78;67.2;17.401;69.4;29.461;33.3
2026-08-22T04:34:30.104;2026-08-21T22:34:30.104;33.5;1042400;1;20.79;67.2;17.212;69.4;29.861;33.3
2026-08-22T04:36:30.138;2026-08-21T22:36:30.138;33.5;1026973;1;20.77;67.2;17.021;69.4;30.259;33.3
2026-08-22T04:38:30.127;2026-08-21T22:38:30.127;33.5;1027234;1;20.77;67.2;16.828;69.4;30.656;33.3
2026-08-22T04:40:30.109;2026-08-21T22:40:30.109;33.5;1010073;0;20.76;67.2;16.632;69.4;31.051;33.3
2026-08-22T04:42:30.112;2026-08-21T22:42:30.112;33.5;1010294;1;20.76;67.1;16.435;69.4;31.445;33.3
2026-08-22T04:44:30.113;2026-08-21T22:44:30.113;33.1;819002;0;20.52;67.1;16.235;69.4;31.837;33.3
2026-08-22T04:46:30.144;2026-08-21T22:46:30.144;33.1;505156;1;20.00;67.1;16.033;69.4;32.227;33.3
2026-08-22T04:48:30.127;2026-08-21T22:48:30.127;33.1;377320;1;19.68;67.1;15.828;69.5;32.616;33.3
