# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: Crestone
# Data supplier: 
# Location name: Crestone Colorado
# Position (lat, lon, elev(m)): 37.9979, -105.69884, 2452
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 6
# Number of fields per line: 6
# SQM serial number: 6080
# SQM hardware identity: 0080A3F51677
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000003,00000079,00006080
# SQM readout test rx (Reading): r, 10.86m,0000004121Hz,0000000000c,0000000.000s, 037.0C,D
# SQM readout test cx (Calibration): c,00000019.89m,0000238.774s, 024.1C,00000008.71m, 026.4C
# SQM readout test Ix (Report Interval): 0000000120s,0000000120s,00000018.00m,00000018.00m
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.352
# UDM setting: Logged continuously every 2 minutes,Threshold = 8 mpsas, Record limit = 1000.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS, MoonPhaseDeg, MoonElevDeg, MoonIllum, MoonAzimuth, Humidity
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2;Degrees;Degrees;Percent;Degrees;Percent
# END OF HEADER
2026-08-10T02:19:33.703;2026-08-09T20:19:33.703;37.0;0;4121;10.86;-143.6;-17.316;9.8;147.622;33.3
2026-08-10T02:21:33.118;2026-08-09T20:21:33.118;37.0;0;2614;11.35;-143.6;-17.519;9.7;148.015;33.3
2026-08-10T02:23:33.124;2026-08-09T20:23:33.124;37.0;0;1622;11.87;-143.6;-17.721;9.7;148.410;33.3
2026-08-10T02:25:33.124;2026-08-09T20:25:33.124;37.0;0;1028;12.37;-143.7;-17.920;9.7;148.807;33.3
2026-08-10T02:27:33.127;2026-08-09T20:27:33.127;36.7;0;665;12.84;-143.7;-18.117;9.7;149.205;33.3
2026-08-10T02:29:33.149;2026-08-09T20:29:33.149;36.7;0;452;13.25;-143.7;-18.311;9.7;149.605;33.3
2026-08-10T02:31:33.098;2026-08-09T20:31:33.098;36.7;0;325;13.62;-143.7;-18.504;9.7;150.007;33.3
2026-08-10T02:33:33.104;2026-08-09T20:33:33.104;36.7;0;226;14.01;-143.7;-18.694;9.7;150.410;33.3
2026-08-10T02:35:33.125;2026-08-09T20:35:33.125;36.4;0;150;14.45;-143.8;-18.882;9.7;150.815;33.3
2026-08-10T02:37:33.132;2026-08-09T20:37:33.132;36.4;4857;95;14.94;-143.8;-19.068;9.7;151.222;33.3
2026-08-10T02:39:33.134;2026-08-09T20:39:33.134;36.4;7457;63;15.41;-143.8;-19.251;9.7;151.631;33.3
2026-08-10T02:41:33.107;2026-08-09T20:41:33.107;36.4;10848;43;15.82;-143.8;-19.432;9.6;152.041;33.3
2026-08-10T02:43:33.115;2026-08-09T20:43:33.115;36.4;16103;29;16.24;-143.8;-19.610;9.6;152.452;33.3
2026-08-10T02:45:33.108;2026-08-09T20:45:33.108;36.4;23081;20;16.64;-143.9;-19.786;9.6;152.866;33.3
2026-08-10T02:47:33.110;2026-08-09T20:47:33.110;36.0;32607;14;17.01;-143.9;-19.960;9.6;153.281;33.3
2026-08-10T02:49:33.109;2026-08-09T20:49:33.109;36.0;46050;10;17.39;-143.9;-20.131;9.6;153.697;33.3
2026-08-10T02:51:33.116;2026-08-09T20:51:33.116;36.0;63359;7;17.73;-143.9;-20.300;9.6;154.115;33.3
2026-08-10T02:53:33.127;2026-08-09T20:53:33.127;36.0;86451;6;18.07;-143.9;-20.466;9.6;154.535;33.3
2026-08-10T02:55:33.118;2026-08-09T20:55:33.118;36.0;122894;4;18.46;-144.0;-20.630;9.6;154.957;33.3
2026-08-10T02:57:33.119;2026-08-09T20:57:33.119;35.7;166035;3;18.78;-144.0;-20.791;9.6;155.379;33.3
2026-08-10T02:59:33.119;2026-08-09T20:59:33.119;35.7;219735;2;19.09;-144.0;-20.950;9.6;155.804;33.3
2026-08-10T03:01:33.098;2026-08-09T21:01:33.098;35.7;292875;2;19.40;-144.0;-21.106;9.5;156.230;33.3
2026-08-10T03:03:33.104;2026-08-09T21:03:33.104;35.7;396328;1;19.73;-144.0;-21.260;9.5;156.657;33.3
2026-08-10T03:05:33.103;2026-08-09T21:05:33.103;35.7;558729;1;20.11;-144.1;-21.411;9.5;157.086;33.3
2026-08-10T03:07:33.113;2026-08-09T21:07:33.113;35.7;810488;0;20.51;-144.1;-21.559;9.5;157.517;33.3
2026-08-10T03:09:33.097;2026-08-09T21:09:33.097;35.7;1196055;1;20.95;-144.1;-21.705;9.5;157.949;33.3
2026-08-10T03:11:33.104;2026-08-09T21:11:33.104;35.4;1585723;1;21.26;-144.1;-21.849;9.5;158.383;33.3
2026-08-10T03:13:33.094;2026-08-09T21:13:33.094;35.4;1926567;0;21.48;-144.1;-21.989;9.5;158.817;33.3
2026-08-10T03:15:33.105;2026-08-09T21:15:33.105;35.4;2180731;1;21.62;-144.1;-22.127;9.5;159.254;33.3
2026-08-10T03:17:33.107;2026-08-09T21:17:33.107;35.4;2539405;0;21.78;-144.2;-22.262;9.5;159.692;33.3
2026-08-10T03:19:33.108;2026-08-09T21:19:33.108;35.4;2897500;0;21.94;-144.2;-22.395;9.5;160.131;33.3
