# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: Crestone
# Data supplier: 
# Location name: Crestone Colorado
# Position (lat, lon, elev(m)): 37.9979, -105.69884, 2452
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 6
# Number of fields per line: 6
# SQM serial number: 6080
# SQM hardware identity: 0080A3F51677
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000003,00000079,00006080
# SQM readout test rx (Reading): r, 00.00m,0000568420Hz,0000000000c,0000000.000s, 041.2C,D
# SQM readout test cx (Calibration): c,00000019.89m,0000238.774s, 024.1C,00000008.71m, 026.4C
# SQM readout test Ix (Report Interval): 0000000120s,0000000120s,00000018.00m,00000018.00m
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.352
# UDM setting: Logged continuously every 2 minutes,Threshold = 8 mpsas, Record limit = 1000.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS, MoonPhaseDeg, MoonElevDeg, MoonIllum, MoonAzimuth, Humidity
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2;Degrees;Degrees;Percent;Degrees;Percent
# END OF HEADER
2026-08-19T01:52:52.093;2026-08-18T19:52:52.093;37.3;0;55659;8.03;101.4;24.762;40.1;30.405;33.3
2026-08-19T01:54:52.103;2026-08-18T19:54:52.103;37.3;0;46129;8.23;101.4;24.563;40.1;30.851;33.3
2026-08-19T01:56:52.097;2026-08-18T19:56:52.097;37.3;0;35736;8.52;101.4;24.361;40.1;31.295;33.3
2026-08-19T01:58:52.107;2026-08-18T19:58:52.107;37.3;0;26466;8.84;101.4;24.157;40.1;31.737;33.3
2026-08-19T02:00:52.112;2026-08-18T20:00:52.112;37.3;0;17713;9.28;101.3;23.950;40.2;32.177;33.3
2026-08-19T02:02:52.112;2026-08-18T20:02:52.112;37.0;0;11947;9.70;101.3;23.740;40.2;32.615;33.3
2026-08-19T02:04:52.114;2026-08-18T20:04:52.114;37.0;0;7459;10.21;101.3;23.529;40.2;33.051;33.3
2026-08-19T02:06:52.106;2026-08-18T20:06:52.106;37.0;0;5399;10.57;101.3;23.314;40.2;33.484;33.3
2026-08-19T02:08:52.154;2026-08-18T20:08:52.154;37.0;0;3916;10.91;101.3;23.098;40.2;33.915;33.3
2026-08-19T02:10:52.128;2026-08-18T20:10:52.128;37.0;0;2382;11.46;101.3;22.879;40.2;34.345;33.3
2026-08-19T02:12:52.118;2026-08-18T20:12:52.118;36.7;0;1532;11.93;101.3;22.658;40.2;34.772;33.3
2026-08-19T02:14:52.094;2026-08-18T20:14:52.094;36.7;0;824;12.60;101.2;22.434;40.3;35.197;33.3
2026-08-19T02:16:52.097;2026-08-18T20:16:52.097;36.7;0;484;13.18;101.2;22.208;40.3;35.620;33.3
2026-08-19T02:18:52.132;2026-08-18T20:18:52.132;36.7;0;326;13.61;101.2;21.980;40.3;36.040;33.3
2026-08-19T02:20:52.110;2026-08-18T20:20:52.110;36.7;0;205;14.11;101.2;21.749;40.3;36.459;33.3
