# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: Crestone
# Data supplier: 
# Location name: Crestone Colorado
# Position (lat, lon, elev(m)): 37.9979, -105.69884, 2452
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 6
# Number of fields per line: 6
# SQM serial number: 6080
# SQM hardware identity: 0080A3F51677
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000003,00000079,00006080
# SQM readout test rx (Reading): r, 11.74m,0000001823Hz,0000000000c,0000000.000s, 035.4C,D
# SQM readout test cx (Calibration): c,00000019.89m,0000238.774s, 024.1C,00000008.71m, 026.4C
# SQM readout test Ix (Report Interval): 0000000120s,0000000120s,00000018.00m,00000018.00m
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.352
# UDM setting: Logged continuously every 2 minutes,Threshold = 8 mpsas, Record limit = 1000.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS, MoonPhaseDeg, MoonElevDeg, MoonIllum, MoonAzimuth, Humidity
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2;Degrees;Degrees;Percent;Degrees;Percent
# END OF HEADER
2026-08-23T02:06:58.721;2026-08-22T20:06:58.721;35.4;0;1823;11.74;57.4;22.577;76.9;-14.749;33.3
2026-08-23T02:08:58.111;2026-08-22T20:08:58.111;35.4;0;1190;12.21;57.4;22.674;76.9;-14.299;33.3
2026-08-23T02:10:58.095;2026-08-22T20:10:58.095;35.4;0;772;12.67;57.4;22.767;76.9;-13.847;33.3
2026-08-23T02:12:58.094;2026-08-22T20:12:58.094;35.1;0;503;13.14;57.4;22.858;76.9;-13.395;33.3
2026-08-23T02:14:58.096;2026-08-22T20:14:58.096;35.1;0;322;13.62;57.4;22.946;77.0;-12.942;33.3
2026-08-23T02:16:58.133;2026-08-22T20:16:58.133;35.1;0;205;14.11;57.4;23.031;77.0;-12.487;33.3
2026-08-23T02:18:58.101;2026-08-22T20:18:58.101;34.8;0;131;14.60;57.4;23.113;77.0;-12.032;33.3
2026-08-23T02:20:58.108;2026-08-22T20:20:58.108;34.8;5444;85;15.07;57.3;23.192;77.0;-11.576;33.3
2026-08-23T02:22:58.122;2026-08-22T20:22:58.122;34.8;8822;54;15.59;57.3;23.268;77.0;-11.118;33.3
2026-08-23T02:24:58.098;2026-08-22T20:24:58.098;34.8;14717;31;16.15;57.3;23.341;77.0;-10.661;33.3
2026-08-23T02:26:58.140;2026-08-22T20:26:58.140;34.4;24091;19;16.69;57.3;23.411;77.0;-10.202;33.3
2026-08-23T02:28:58.124;2026-08-22T20:28:58.124;34.4;35539;13;17.11;57.3;23.478;77.0;-9.742;33.3
2026-08-23T02:30:58.104;2026-08-22T20:30:58.104;34.4;48931;9;17.46;57.3;23.542;77.0;-9.282;33.3
2026-08-23T02:32:58.107;2026-08-22T20:32:58.107;34.4;64369;7;17.76;57.2;23.603;77.1;-8.821;33.3
2026-08-23T02:34:58.094;2026-08-22T20:34:58.094;34.4;78667;6;17.97;57.2;23.661;77.1;-8.359;33.3
2026-08-23T02:36:58.104;2026-08-22T20:36:58.104;34.4;85539;6;18.06;57.2;23.716;77.1;-7.897;33.3
2026-08-23T02:38:58.093;2026-08-22T20:38:58.093;34.1;93053;5;18.15;57.2;23.768;77.1;-7.434;33.3
2026-08-23T02:40:58.103;2026-08-22T20:40:58.103;34.1;106668;5;18.30;57.2;23.817;77.1;-6.971;33.3
2026-08-23T02:42:58.113;2026-08-22T20:42:58.113;34.1;129571;3;18.51;57.2;23.862;77.1;-6.507;33.3
2026-08-23T02:44:58.092;2026-08-22T20:44:58.092;34.1;151633;3;18.68;57.2;23.905;77.1;-6.042;33.3
2026-08-23T02:46:58.095;2026-08-22T20:46:58.095;34.1;158363;3;18.72;57.1;23.945;77.1;-5.577;33.3
2026-08-23T02:48:58.140;2026-08-22T20:48:58.140;34.1;161175;3;18.74;57.1;23.982;77.1;-5.112;33.3
2026-08-23T02:50:58.118;2026-08-22T20:50:58.118;34.1;166956;3;18.78;57.1;24.015;77.2;-4.646;33.3
2026-08-23T02:52:58.096;2026-08-22T20:52:58.096;34.1;171644;3;18.81;57.1;24.046;77.2;-4.180;33.3
2026-08-23T02:54:58.116;2026-08-22T20:54:58.116;34.1;167865;2;18.78;57.1;24.073;77.2;-3.713;33.3
