# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: Crestone
# Data supplier: 
# Location name: Crestone Colorado
# Position (lat, lon, elev(m)): 37.9979, -105.69884, 2452
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 6
# Number of fields per line: 6
# SQM serial number: 6080
# SQM hardware identity: 0080A3F51677
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000003,00000079,00006080
# SQM readout test rx (Reading): r, 00.00m,0000568244Hz,0000000000c,0000000.000s, 044.1C,D
# SQM readout test cx (Calibration): c,00000019.89m,0000238.774s, 024.1C,00000008.71m, 026.4C
# SQM readout test Ix (Report Interval): 0000000120s,0000000120s,00000018.00m,00000018.00m
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.352
# UDM setting: Logged continuously every 2 minutes,Threshold = 8 mpsas, Record limit = 1000.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS, MoonPhaseDeg, MoonElevDeg, MoonIllum, MoonAzimuth, Humidity
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2;Degrees;Degrees;Percent;Degrees;Percent
# END OF HEADER
2026-08-04T02:12:23.100;2026-08-03T20:12:23.100;38.6;0;45759;8.24;-64.4;-25.321;71.6;-127.688;33.3
2026-08-04T02:14:23.122;2026-08-03T20:14:23.122;38.6;0;35761;8.52;-64.5;-25.012;71.6;-127.286;33.3
2026-08-04T02:16:23.118;2026-08-03T20:16:23.118;38.3;0;27363;8.81;-64.5;-24.701;71.5;-126.887;33.3
2026-08-04T02:18:23.097;2026-08-03T20:18:23.097;38.3;0;21039;9.09;-64.5;-24.388;71.5;-126.491;33.3
2026-08-04T02:20:23.093;2026-08-03T20:20:23.093;38.3;0;15991;9.39;-64.5;-24.074;71.5;-126.096;33.3
2026-08-04T02:22:23.104;2026-08-03T20:22:23.104;38.3;0;11831;9.71;-64.5;-23.759;71.5;-125.705;33.3
2026-08-04T02:24:23.097;2026-08-03T20:24:23.097;38.0;0;8442;10.08;-64.6;-23.442;71.5;-125.315;33.3
2026-08-04T02:26:23.093;2026-08-03T20:26:23.093;38.0;0;5835;10.48;-64.6;-23.123;71.5;-124.928;33.3
2026-08-04T02:28:23.108;2026-08-03T20:28:23.108;37.7;0;4020;10.88;-64.6;-22.803;71.5;-124.544;33.3
2026-08-04T02:30:23.123;2026-08-03T20:30:23.123;37.7;0;2831;11.27;-64.6;-22.482;71.4;-124.162;33.3
2026-08-04T02:32:23.103;2026-08-03T20:32:23.103;37.7;0;1993;11.64;-64.6;-22.159;71.4;-123.782;33.3
2026-08-04T02:34:23.119;2026-08-03T20:34:23.119;37.7;0;1366;12.06;-64.6;-21.835;71.4;-123.404;33.3
2026-08-04T02:36:23.104;2026-08-03T20:36:23.104;37.3;0;919;12.49;-64.7;-21.509;71.4;-123.029;33.3
2026-08-04T02:38:23.129;2026-08-03T20:38:23.129;37.3;0;611;12.93;-64.7;-21.182;71.4;-122.655;33.3
2026-08-04T02:40:23.122;2026-08-03T20:40:23.122;37.3;0;396;13.40;-64.7;-20.854;71.4;-122.284;33.3
2026-08-04T02:42:23.129;2026-08-03T20:42:23.129;37.0;0;252;13.89;-64.7;-20.525;71.4;-121.915;33.3
2026-08-04T02:44:23.119;2026-08-03T20:44:23.119;37.0;0;159;14.39;-64.7;-20.194;71.3;-121.549;33.3
2026-08-04T02:46:23.135;2026-08-03T20:46:23.135;37.0;4416;106;14.84;-64.7;-19.862;71.3;-121.184;33.3
2026-08-04T02:48:23.122;2026-08-03T20:48:23.122;36.7;6374;73;15.24;-64.8;-19.529;71.3;-120.821;33.3
2026-08-04T02:50:23.124;2026-08-03T20:50:23.124;36.7;8805;52;15.59;-64.8;-19.194;71.3;-120.461;33.3
2026-08-04T02:52:23.111;2026-08-03T20:52:23.111;36.7;12824;36;16.00;-64.8;-18.859;71.3;-120.102;33.3
2026-08-04T02:54:23.107;2026-08-03T20:54:23.107;36.7;19204;24;16.44;-64.8;-18.522;71.3;-119.745;33.3
2026-08-04T02:56:23.125;2026-08-03T20:56:23.125;36.4;27859;16;16.84;-64.8;-18.184;71.3;-119.391;33.3
2026-08-04T02:58:23.096;2026-08-03T20:58:23.096;36.4;39388;12;17.21;-64.8;-17.845;71.3;-119.038;33.3
