# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: Crestone
# Data supplier: 
# Location name: Crestone Colorado
# Position (lat, lon, elev(m)): 37.9979, -105.69884, 2452
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 6
# Number of fields per line: 6
# SQM serial number: 6080
# SQM hardware identity: 0080A3F51677
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000003,00000079,00006080
# SQM readout test rx (Reading): r, 00.00m,0000568329Hz,0000000000c,0000000.000s, 041.5C,D
# SQM readout test cx (Calibration): c,00000019.89m,0000238.774s, 024.1C,00000008.71m, 026.4C
# SQM readout test Ix (Report Interval): 0000000120s,0000000120s,00000018.00m,00000018.00m
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.352
# UDM setting: Logged continuously every 2 minutes,Threshold = 8 mpsas, Record limit = 1000.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS, MoonPhaseDeg, MoonElevDeg, MoonIllum, MoonAzimuth, Humidity
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2;Degrees;Degrees;Percent;Degrees;Percent
# END OF HEADER
2026-08-05T02:10:53.089;2026-08-04T20:10:53.089;36.7;0;52460;8.10;-77.0;-27.270;61.3;-141.966;33.3
2026-08-05T02:12:53.111;2026-08-04T20:12:53.111;36.7;0;39771;8.40;-77.0;-27.027;61.3;-141.520;33.3
2026-08-05T02:14:53.098;2026-08-04T20:14:53.098;36.4;0;29203;8.73;-77.0;-26.783;61.3;-141.076;33.3
2026-08-05T02:16:53.100;2026-08-04T20:16:53.100;36.4;0;17416;9.29;-77.0;-26.536;61.2;-140.634;33.3
2026-08-05T02:18:53.089;2026-08-04T20:18:53.089;36.4;0;10401;9.85;-77.0;-26.287;61.2;-140.195;33.3
2026-08-05T02:20:53.116;2026-08-04T20:20:53.116;36.0;0;8417;10.08;-77.0;-26.035;61.2;-139.759;33.3
2026-08-05T02:22:53.099;2026-08-04T20:22:53.099;36.0;0;9164;9.99;-77.1;-25.782;61.2;-139.325;33.3
2026-08-05T02:24:53.112;2026-08-04T20:24:53.112;36.0;0;7026;10.28;-77.1;-25.526;61.2;-138.894;33.3
2026-08-05T02:26:53.105;2026-08-04T20:26:53.105;35.7;0;4322;10.80;-77.1;-25.268;61.2;-138.465;33.3
2026-08-05T02:28:53.098;2026-08-04T20:28:53.098;35.7;0;2795;11.28;-77.1;-25.008;61.1;-138.038;33.3
2026-08-05T02:30:53.109;2026-08-04T20:30:53.109;35.7;0;1793;11.76;-77.1;-24.746;61.1;-137.614;33.3
2026-08-05T02:32:53.133;2026-08-04T20:32:53.133;35.7;0;1149;12.25;-77.2;-24.482;61.1;-137.193;33.3
2026-08-05T02:34:53.104;2026-08-04T20:34:53.104;35.7;0;734;12.73;-77.2;-24.216;61.1;-136.774;33.3
2026-08-05T02:36:53.103;2026-08-04T20:36:53.103;35.4;0;465;13.22;-77.2;-23.947;61.1;-136.358;33.3
2026-08-05T02:38:53.109;2026-08-04T20:38:53.109;35.4;0;294;13.72;-77.2;-23.677;61.1;-135.944;33.3
2026-08-05T02:40:53.092;2026-08-04T20:40:53.092;35.4;0;189;14.20;-77.2;-23.405;61.1;-135.532;33.3
2026-08-05T02:42:53.094;2026-08-04T20:42:53.094;35.4;0;130;14.61;-77.2;-23.131;61.0;-135.123;33.3
2026-08-05T02:44:53.143;2026-08-04T20:44:53.143;35.4;5321;88;15.04;-77.3;-22.855;61.0;-134.716;33.3
2026-08-05T02:46:53.099;2026-08-04T20:46:53.099;35.4;8585;54;15.56;-77.3;-22.578;61.0;-134.311;33.3
2026-08-05T02:48:53.123;2026-08-04T20:48:53.123;35.4;12692;36;15.99;-77.3;-22.298;61.0;-133.909;33.3
2026-08-05T02:50:53.101;2026-08-04T20:50:53.101;35.4;19124;24;16.43;-77.3;-22.017;61.0;-133.509;33.3
2026-08-05T02:52:53.106;2026-08-04T20:52:53.106;35.1;26953;17;16.80;-77.3;-21.733;61.0;-133.111;33.3
2026-08-05T02:54:53.127;2026-08-04T20:54:53.127;35.1;38395;12;17.18;-77.3;-21.448;61.0;-132.716;33.3
2026-08-05T02:56:53.092;2026-08-04T20:56:53.092;35.4;52762;9;17.54;-77.4;-21.162;60.9;-132.323;33.3
2026-08-05T02:58:53.104;2026-08-04T20:58:53.104;35.4;71921;6;17.87;-77.4;-20.873;60.9;-131.932;33.3
2026-08-05T03:00:53.117;2026-08-04T21:00:53.117;35.4;103592;5;18.27;-77.4;-20.583;60.9;-131.544;33.3
2026-08-05T03:02:53.108;2026-08-04T21:02:53.108;35.4;124924;4;18.47;-77.4;-20.291;60.9;-131.157;33.3
2026-08-05T03:04:53.098;2026-08-04T21:04:53.098;35.4;146850;3;18.65;-77.4;-19.998;60.9;-130.773;33.3
2026-08-05T03:06:53.098;2026-08-04T21:06:53.098;35.4;205312;2;19.02;-77.4;-19.702;60.9;-130.391;33.3
2026-08-05T03:08:53.102;2026-08-04T21:08:53.102;35.4;282380;2;19.35;-77.5;-19.406;60.9;-130.011;33.3
2026-08-05T03:10:53.108;2026-08-04T21:10:53.108;35.4;358086;2;19.62;-77.5;-19.107;60.8;-129.634;33.3
2026-08-05T03:12:53.101;2026-08-04T21:12:53.101;35.4;464821;1;19.91;-77.5;-18.807;60.8;-129.258;33.3
2026-08-05T03:14:53.095;2026-08-04T21:14:53.095;35.4;647047;0;20.26;-77.5;-18.506;60.8;-128.884;33.3
2026-08-05T03:16:53.143;2026-08-04T21:16:53.143;35.4;794948;1;20.50;-77.5;-18.203;60.8;-128.513;33.3
2026-08-05T03:18:53.107;2026-08-04T21:18:53.107;35.4;981461;1;20.73;-77.6;-17.898;60.8;-128.143;33.3
2026-08-05T03:20:53.094;2026-08-04T21:20:53.094;35.1;1195146;0;20.94;-77.6;-17.592;60.8;-127.776;33.3
2026-08-05T03:22:53.107;2026-08-04T21:22:53.107;35.1;1488481;1;21.19;-77.6;-17.285;60.7;-127.411;33.3
2026-08-05T03:24:53.102;2026-08-04T21:24:53.102;35.1;1901299;1;21.47;-77.6;-16.976;60.7;-127.047;33.3
2026-08-05T03:26:53.143;2026-08-04T21:26:53.143;35.1;2435930;0;21.74;-77.6;-16.665;60.7;-126.686;33.3
2026-08-05T03:28:53.106;2026-08-04T21:28:53.106;35.1;3012602;0;21.99;-77.6;-16.353;60.7;-126.326;33.3
2026-08-05T03:30:53.097;2026-08-04T21:30:53.097;35.1;2855640;0;21.92;-77.7;-16.040;60.7;-125.969;33.3
2026-08-05T03:32:53.106;2026-08-04T21:32:53.106;35.1;2639661;0;21.83;-77.7;-15.726;60.7;-125.613;33.3
2026-08-05T03:34:53.100;2026-08-04T21:34:53.100;35.1;2737237;0;21.88;-77.7;-15.410;60.7;-125.259;33.3
2026-08-05T03:36:53.107;2026-08-04T21:36:53.107;35.1;2970344;0;21.97;-77.7;-15.092;60.6;-124.907;33.3
2026-08-05T03:38:53.112;2026-08-04T21:38:53.112;35.1;2887963;0;21.94;-77.7;-14.774;60.6;-124.557;33.3
2026-08-05T03:40:53.117;2026-08-04T21:40:53.117;35.4;2846179;1;21.92;-77.7;-14.454;60.6;-124.209;33.3
2026-08-05T03:42:53.151;2026-08-04T21:42:53.151;35.4;2921181;0;21.95;-77.8;-14.133;60.6;-123.862;33.3
2026-08-05T03:44:53.123;2026-08-04T21:44:53.123;35.4;2891776;0;21.94;-77.8;-13.811;60.6;-123.517;33.3
2026-08-05T03:46:53.114;2026-08-04T21:46:53.114;35.4;2922433;0;21.95;-77.8;-13.487;60.6;-123.174;33.3
2026-08-05T03:48:53.107;2026-08-04T21:48:53.107;35.4;2909991;0;21.94;-77.8;-13.162;60.6;-122.833;33.3
2026-08-05T03:50:53.105;2026-08-04T21:50:53.105;35.4;3096429;0;22.02;-77.8;-12.836;60.5;-122.493;33.3
2026-08-05T03:52:53.123;2026-08-04T21:52:53.123;35.4;3164356;0;22.04;-77.9;-12.509;60.5;-122.155;33.3
2026-08-05T03:54:53.106;2026-08-04T21:54:53.106;35.4;3506375;0;22.16;-77.9;-12.180;60.5;-121.819;33.3
2026-08-05T03:56:53.123;2026-08-04T21:56:53.123;35.4;3375903;0;22.12;-77.9;-11.851;60.5;-121.484;33.3
2026-08-05T03:58:53.098;2026-08-04T21:58:53.098;35.1;3184959;1;22.05;-77.9;-11.520;60.5;-121.151;33.3
2026-08-05T04:00:53.092;2026-08-04T22:00:53.092;35.1;3146228;0;22.04;-77.9;-11.188;60.5;-120.820;33.3
2026-08-05T04:02:53.129;2026-08-04T22:02:53.129;35.1;3102542;0;22.02;-77.9;-10.855;60.4;-120.490;33.3
2026-08-05T04:04:53.122;2026-08-04T22:04:53.122;35.1;3131706;1;22.03;-78.0;-10.521;60.4;-120.161;33.3
2026-08-05T04:06:53.109;2026-08-04T22:06:53.109;35.1;3228362;0;22.07;-78.0;-10.186;60.4;-119.835;33.3
2026-08-05T04:08:53.139;2026-08-04T22:08:53.139;35.1;2960674;0;21.97;-78.0;-9.850;60.4;-119.509;33.3
2026-08-05T04:10:53.111;2026-08-04T22:10:53.111;34.8;2963882;0;21.97;-78.0;-9.513;60.4;-119.185;33.3
2026-08-05T04:12:53.112;2026-08-04T22:12:53.112;34.8;3008137;0;21.99;-78.0;-9.174;60.4;-118.863;33.3
